simulation,Parameter,Estimate,model
33,sim_wide_lf,0.09598274815521413,NA
33,sim_wtd,-0.02139191290071277,NA
33,sim_moose,-0.04748535233905811,NA
33,sim_squirrel,0.060220238442663776,NA
33,sim_hare,0.22941735690028658,NA
33,sim_wolf,0.23399516181343127,NA
33,sim_lynx,0.19617223403781536,NA
33,sim_fisher,0.01653289910576769,NA
33,NA,NA,sim_global
34,(Intercept),-1.5854663232633905,NA
34,sim_nat_land,-0.3092210413719373,NA
34,sim_wide_lf,0.720791093246661,NA
34,sim_wtd,0.0752881973657761,NA
34,sim_moose,-0.0443495283893421,NA
34,sim_squirrel,0.03669062145412395,NA
34,sim_hare,0.18605038909064778,NA
34,sim_wolf,0.19164553236545423,NA
34,sim_lynx,0.1679044197801421,NA
34,sim_fisher,0.05253913775125868,NA
34,NA,NA,sim_global
35,(Intercept),-1.4557843949472196,NA
35,sim_nat_land,-0.08689989632637428,NA
35,sim_wide_lf,0.6473488566644704,NA
35,sim_wtd,0.09818846811512355,NA
35,sim_moose,-0.06893164306969857,NA
35,sim_squirrel,0.07154831635444509,NA
35,sim_hare,0.20412569689290572,NA
35,sim_wolf,0.18058708683803654,NA
35,sim_lynx,0.11264564696131783,NA
35,sim_fisher,0.018048841450184823,NA
35,NA,NA,sim_global
36,(Intercept),-1.0246714332371827,NA
36,sim_nat_land,-0.5506207844923903,NA
36,sim_wide_lf,0.449944927864258,NA
36,sim_wtd,0.03964926724690429,NA
36,sim_moose,-0.046532449608334525,NA
36,sim_squirrel,0.06430728981490755,NA
36,sim_hare,0.2310495055648643,NA
36,sim_wolf,0.17122349903661516,NA
36,sim_lynx,0.12430349775336119,NA
36,sim_fisher,0.007510302531946098,NA
36,NA,NA,sim_global
37,(Intercept),-1.3104836873562138,NA
37,sim_nat_land,-0.4459647344761444,NA
37,sim_wide_lf,0.7113089492722021,NA
37,sim_wtd,0.0735600700977476,NA
37,sim_moose,-0.08151491961757784,NA
37,sim_squirrel,0.10933056497729243,NA
37,sim_hare,0.1951066013240935,NA
37,sim_wolf,0.15976689640773567,NA
37,sim_lynx,0.1304024469650132,NA
37,sim_fisher,0.011870160272877624,NA
37,NA,NA,sim_global
38,(Intercept),-1.8397021203320354,NA
38,sim_nat_land,-0.3695162165868443,NA
38,sim_wide_lf,0.36545236292830685,NA
38,sim_wtd,0.10172560818929363,NA
38,sim_moose,-0.06621341647141764,NA
38,sim_squirrel,0.06449801990822446,NA
38,sim_hare,0.1909852101759976,NA
38,sim_wolf,0.24844016652501805,NA
38,sim_lynx,0.20186517245236035,NA
38,sim_fisher,0.04329038659146415,NA
38,NA,NA,sim_global
39,(Intercept),-1.4302994268236153,NA
39,sim_nat_land,-0.16548418774893908,NA
39,sim_wide_lf,0.5867212313454302,NA
39,sim_wtd,0.012049336466978651,NA
39,sim_moose,-0.059608764731108974,NA
39,sim_squirrel,0.08811000592464192,NA
39,sim_hare,0.18232965619764763,NA
39,sim_wolf,0.180856151097272,NA
39,sim_lynx,0.17126323551780376,NA
39,sim_fisher,0.007927508306849292,NA
39,NA,NA,sim_global
40,(Intercept),-1.6700522572563057,NA
40,sim_nat_land,-0.7229945234685503,NA
40,sim_wide_lf,0.5455253460336416,NA
40,sim_wtd,0.1282146579385321,NA
40,sim_moose,-0.06735157021955401,NA
40,sim_squirrel,0.08277220020857712,NA
40,sim_hare,0.16364207294547856,NA
40,sim_wolf,0.19861472025822047,NA
40,sim_lynx,0.16597848957626957,NA
40,sim_fisher,0.0882017420442696,NA
40,NA,NA,sim_global
41,(Intercept),-1.5565718499390604,NA
41,sim_nat_land,-0.44618931659282673,NA
41,sim_wide_lf,0.6444786276641612,NA
41,sim_wtd,0.056380936874223034,NA
41,sim_moose,-0.04847870228657803,NA
41,sim_squirrel,0.07595526682221215,NA
41,sim_hare,0.19754803781700037,NA
41,sim_wolf,0.1672443950103916,NA
41,sim_lynx,0.18844837012277568,NA
41,sim_fisher,0.014311194080736188,NA
41,NA,NA,sim_global
42,(Intercept),-1.6811595857564976,NA
42,sim_nat_land,-0.2896747675107152,NA
42,sim_wide_lf,0.6286554205798129,NA
42,sim_wtd,0.01519526379833374,NA
42,sim_moose,-0.05181590570337473,NA
42,sim_squirrel,0.06960695654176852,NA
42,sim_hare,0.17265827812525059,NA
42,sim_wolf,0.17873733992854812,NA
42,sim_lynx,0.18132488837490346,NA
42,sim_fisher,0.032578194042234276,NA
42,NA,NA,sim_global
43,(Intercept),-1.045375607714436,NA
43,sim_nat_land,-0.22098053467008044,NA
43,sim_wide_lf,0.7405805389635614,NA
43,sim_wtd,0.03410102593815896,NA
43,sim_moose,-0.05818600494218246,NA
43,sim_squirrel,0.050113621086748904,NA
43,sim_hare,0.12058464861581239,NA
43,sim_wolf,0.1471570283119037,NA
43,sim_lynx,0.1844301344333182,NA
43,sim_fisher,-0.011557754597358173,NA
43,NA,NA,sim_global
44,(Intercept),-1.002908316440779,NA
44,sim_nat_land,-0.3874073324283002,NA
44,sim_wide_lf,0.328036306579316,NA
44,sim_wtd,0.09938278826028447,NA
44,sim_moose,-0.07095147036684739,NA
44,sim_squirrel,0.07544815760012595,NA
44,sim_hare,0.20186512251388694,NA
44,sim_wolf,0.11297508972439876,NA
44,sim_lynx,0.17550839717240063,NA
44,sim_fisher,0.03602981126562436,NA
44,NA,NA,sim_global
45,(Intercept),-1.0478671913745274,NA
45,sim_nat_land,-0.40309627471924747,NA
45,sim_wide_lf,0.4833593105910132,NA
45,sim_wtd,0.02090756281595337,NA
45,sim_moose,-0.07359522600124604,NA
45,sim_squirrel,0.062391517107568975,NA
45,sim_hare,0.18188148251825842,NA
45,sim_wolf,0.16035695057815946,NA
45,sim_lynx,0.18315816739136964,NA
45,sim_fisher,-0.036063895757171255,NA
45,NA,NA,sim_global
46,(Intercept),-1.2247113274697035,NA
46,sim_nat_land,-0.3153290215254544,NA
46,sim_wide_lf,0.2511044423498403,NA
46,sim_wtd,0.04345780728542611,NA
46,sim_moose,-0.03975109724012092,NA
46,sim_squirrel,0.0986514582591056,NA
46,sim_hare,0.16761771787068064,NA
46,sim_wolf,0.18644169576109967,NA
46,sim_lynx,0.1367860346606745,NA
46,sim_fisher,0.014730917975429495,NA
46,NA,NA,sim_global
47,(Intercept),-1.4520535491232418,NA
47,sim_nat_land,-0.3248050212055638,NA
47,sim_wide_lf,0.29493998290220835,NA
47,sim_wtd,0.004237638749236499,NA
47,sim_moose,-0.0831881855322152,NA
47,sim_squirrel,0.10533658776925157,NA
47,sim_hare,0.2637847397709004,NA
47,sim_wolf,0.19504235614834745,NA
47,sim_lynx,0.16495879646376616,NA
47,sim_fisher,0.02531969935469883,NA
47,NA,NA,sim_global
48,(Intercept),-1.3272152510074153,NA
48,sim_nat_land,-0.4958439714391941,NA
48,sim_wide_lf,0.7607407456585991,NA
48,sim_wtd,0.08773205342203497,NA
48,sim_moose,-0.068398438293236,NA
48,sim_squirrel,0.05746408844932752,NA
48,sim_hare,0.19142884594140297,NA
48,sim_wolf,0.19289214510895816,NA
48,sim_lynx,0.16010587660685516,NA
48,sim_fisher,0.030726914706052197,NA
48,NA,NA,sim_global
49,(Intercept),-1.0504000065681511,NA
49,sim_nat_land,-0.3500496484013494,NA
49,sim_wide_lf,0.4099819288109867,NA
49,sim_wtd,0.048255220250013144,NA
49,sim_moose,-0.0572324169319816,NA
49,sim_squirrel,0.10646469327702321,NA
49,sim_hare,0.17875613672119547,NA
49,sim_wolf,0.23049638026784836,NA
49,sim_lynx,0.1393314634772585,NA
49,sim_fisher,-0.025846245990725412,NA
49,NA,NA,sim_global_int
50,(Intercept),-1.6570462789851512,NA
50,sim_nat_land,-0.26112656931204853,NA
50,sim_wide_lf,0.5685161961262503,NA
50,sim_wtd,0.06140497436085662,NA
50,sim_moose,-0.04550799671636656,NA
50,sim_squirrel,0.12026025008911993,NA
50,sim_hare,0.1824147319294763,NA
50,sim_wolf,0.2085298216314984,NA
50,sim_lynx,0.1612750063591905,NA
50,sim_fisher,-0.013670653784544361,NA
50,NA,NA,sim_global
51,(Intercept),-1.3857888405352101,NA
51,sim_nat_land,-0.03902021641540536,NA
51,sim_wide_lf,0.4178910400972362,NA
51,sim_wtd,5.490573064095188e-4,NA
51,sim_moose,-0.06021034992507205,NA
51,sim_squirrel,0.06733338705761033,NA
51,sim_hare,0.2010493721341458,NA
51,sim_wolf,0.18958213119210643,NA
51,sim_lynx,0.15854819071733955,NA
51,sim_fisher,-0.0024578301460482944,NA
51,NA,NA,sim_global
52,(Intercept),-1.2245127028440967,NA
52,sim_nat_land,-0.2066863696048434,NA
52,sim_wide_lf,0.26099986073363335,NA
52,sim_wtd,0.0518657447248112,NA
52,sim_moose,-0.07005066116635214,NA
52,sim_squirrel,0.025080015936955746,NA
52,sim_hare,0.1814060446905965,NA
