array,site,pipeline,roads,seismic_lines,seismic_lines_3D,trails,transmission_lines,nat_land,coyote_pres,coyote_abs,coyote_tot,fisher,snowshoe_hare,white_tailed_deer,lynx,red_squirrel,moose,grey_wolf
LU2,LU2_106,0.0183506114499774,0.00617417339230596,0.00807841592430459,1.0043416934051098e-4,0.00127797917779299,0.00512163859488373,0.7842265519138832,6,1,26,0,21,29,0,7,1,0
LU2,LU2_110,0,0.00209342461636499,0.0070937372461419,0,0.00227463989104812,0,0.9733645310818649,3,11,4,2,59,45,5,2,0,0
LU2,LU2_119,0.00992325917128582,0.0068123518159995,0.00769978534167814,0,0.00198486422217921,0.00168007397161091,0.8946232129347276,8,6,22,1,77,24,9,0,3,0
LU2,LU2_123,0.0144048184074689,0.0064212298902897,0.01099153164744369,0,0.00257067085460836,0.0174832324583346,0.9232206950971604,0,7,0,1,0,9,0,15,4,0
LU2,LU2_13,0,0.00257163185973936,0.0071834221911652,0,0.00230808934562036,0,0.9365519619683975,3,4,5,1,46,11,2,5,0,1
LU2,LU2_137,0.00222293131026918,0.00155442223748816,0.00861597486390878,0,0.00123976512252156,0,0.9257019378888011,4,10,8,0,7,71,0,0,1,0
LU2,LU2_143,8.3954406978583e-5,0.00237734212939271,0.00641822310801465,0,0.00369561536810017,0,0.9810421414091524,4,10,4,1,5,42,3,1,5,2
LU2,LU2_15,0,0.00157572485211926,0.00768929165692523,0,0.00253054537022747,0,0.9734442685430448,0,7,0,0,0,3,0,0,0,0
LU2,LU2_153,0.00520587558523586,0.00261923187453825,0.0045041007276079,0,0.00229285520317976,0,0.7661253850657376,5,9,5,0,0,132,0,0,1,2
LU2,LU2_155,0.00255420542214492,0.00148272834554533,0.00493981115964121,0,0.00354186472751986,0,0.9858828013081183,1,13,1,0,8,91,0,0,2,3
LU2,LU2_17,2.793810996747311e-4,0.0019415001719245,0.0082376327595316,0,0.00157341102235429,0,0.9614488775131983,4,10,4,0,87,61,0,2,6,4
LU2,LU2_18,0,0.00230569095298658,0.00647688147825618,0,0.00273178756734643,0,0.9744596270874046,1,13,2,3,79,30,9,3,2,3
LU2,LU2_20,0.0058267913806708,0.00209532301179648,0.00920296231197289,0,0.00157327657992601,0.00618144600879726,0.9401626798584579,2,12,3,0,0,62,0,0,4,0
LU2,LU2_21,0.00468215694322592,0.00140692863185845,0.00892858903087307,0,0.00133300253446975,0.00464174324400963,0.936249483288155,1,13,2,7,9,49,1,6,3,0
LU2,LU2_24,0.01290470739344509,0.00622830730219969,0.00728859704123478,0,0.00170185942713158,0.0025930837919425,0.8929253457838977,4,10,6,0,101,44,1,2,0,1
LU2,LU2_25,0.00985520871943016,0.00277418799305452,0.00885089252076343,0,0.00192632587661064,0.00881350157906217,0.9571414443411622,5,9,17,9,46,26,1,31,1,0
LU2,LU2_26,0.00197552293046997,0.00143144771790298,0.00515416838458277,0,0.00369263241128264,0,0.9871769911301123,0,14,0,0,4,98,0,0,1,1
LU2,LU2_27,0.0133292338382182,0.0053237263589002,0.0108327726407349,0,0.00227261825634326,0.01531706753565979,0.9246491249042791,0,7,0,2,19,11,1,0,0,1
LU2,LU2_29,0,0.00197318269102735,0.00890903945298538,0,0.00124770278480589,0,0.9503227393112164,1,6,2,1,3,24,1,0,2,0
LU2,LU2_30,0,0.00198312920329313,0.0109790533803678,0,0.00133199898302387,0,0.9708865552108794,3,4,5,0,0,31,0,0,2,0
LU2,LU2_31,0,0.00279207589189003,0.00713578746524692,0,0.00165329947146353,0,0.9039992821993139,1,6,2,0,29,16,0,1,0,0
LU2,LU2_32,0,0.00260869468834731,0.00634012708510645,0,0.00178453201118035,0,0.8132673961849128,2,5,2,4,5,17,0,0,1,0
