array,site,buff_dist,harvest,pipeline,roads,seismic_lines,seismic_lines_3D,trails,transmission_lines,veg_edges,wells,lc_grassland,lc_coniferous,lc_broadleaf,lc_mixed,lc_developed,lc_shrub,osm_industrial
LU01,LU01_71,4750,0.013759796,0.036388107,0.016912386000000005,0.0042488749999999974,0.004572648,0.0019928650000000003,0.009665796999999995,0.029994642999999994,0.054890501000000015,0.077481956,0.327599637,0.23890395700000006,0.045862482999999996,0.1404739,0.10416388600000002,0.05682437800000001
LU01,LU01_22,4750,0.012759095,0.03484958100000001,0.015475286999999999,0.005517306999999998,0.004837538999999998,0.0018295779999999999,0.004442034,0.02669686,0.049576632000000016,0.07552969100000002,0.390319854,0.229634844,0.03771337900000001,0.119260592,0.095254956,0.048378002
LU01,LU01_60,4750,0.022590679,0.01425134,0.00625251,0.007425777,0.001261182,0.001366122,0.0028295480000000007,0.012627226,0.03289742600000001,0.04181167800000002,0.4090499700000001,0.24956992300000005,0.04195651900000001,0.05628184,0.10341908999999998,0.017730241
LU01,LU01_78,4750,0.03153309200000001,0.018924489000000006,0.005076611,0.011374812000000003,0.001983792,0.0012020540000000001,0.001472959,0.007887895,0.017367305,0.04461200000000001,0.5800343179999998,0.1419993060000001,0.031456188,0,0.133181313,0.023239496999999998
LU01,LU01_46,4750,0.002419001,0.033981156,0.017468825999999996,0.004686287,0.004783145000000002,0.0022547820000000003,0.009767456999999995,0.031549925,0.058749474999999995,0.082920582,0.2803587640000002,0.2848487650000002,0.053658704000000015,0.13875895300000005,0.09602552000000003,0.057201126000000005
LU01,LU01_82,4750,0.012527470999999998,9.26147e-4,0.0028655560000000004,0.005365422,0.003474142000000001,0.0024555970000000003,0,0.005637982,0.006301068000000001,0.0013602719999999998,0.62675809,0.15139090300000005,0.12286108600000002,0.025191153,0.055545314,0.0012783780000000004
LU01,LU01_27,4750,0.023720850999999994,0.029453172,0.009145988,0.010848967999999999,0.003875646,0.001663712,0.008853046,0.016908348000000007,0.026888463999999994,0.046062208,0.356343578,0.3473876840000001,0.042489935999999985,0.075583039,0.11701743099999998,0.019379319000000006
LU13,LU13_18,5000,0.006712596,0.008663573999999999,0.012223608,0.003844328,0,0.0050855760000000005,0.006191556,0.023097219,0.003828738,0.023183112999999995,0.3998111290000001,0.125575204,0.048785762999999996,0.06436164800000002,0.12904730100000006,0.21212301
LU13,LU13_15,5000,0.014062159,0.004165655,0.009515316000000001,0.00561549,0,0.0034022920000000008,0.004655796,0.019726957,0.0037248460000000013,0.018102615000000006,0.507134173,0.10262461200000003,0.058983573,0.031229262999999986,0.168976919,0.103410696
LU13,LU13_03,5000,0.084128518,0,0.0024539260000000012,0.009439992,0,0.0037171220000000015,0,0.005638973999999998,0.013871961000000002,0.006563267,0.7500414350000002,0.02586743400000001,0.019583632,0,0.18853834500000005,0.008658483999999998
LU13,LU13_34,5000,0.08232769899999998,0,0.002320483,0.012029906,0,0.0034653980000000015,0,0.005511816999999998,0.016738782000000008,0.009719845,0.767349199,0.014815219000000003,0.004059901,0,0.20405583600000005,0.002687078
LU13,LU13_57,5000,0.0023069119999999995,0.027918639000000006,0.007645393,0.009370423999999999,0.05689214400000001,7.574120000000002e-4,0.015755296000000005,0.013970712000000003,0.025175285000000006,0.019080464000000005,0.8590832770000002,0.029502926999999995,0.019697186999999994,0.026329675000000007,0.03034013,0.065964699
LU13,LU13_16,5000,0.012980626,0.00652505,0.012051775000000002,0.004881401000000002,0,0.004847759,0.006436821999999998,0.025070843,0.004103133,0.022912226999999993,0.448040214,0.114612698,0.042606825000000015,0.052059448000000015,0.169883898,0.146381494
LU13,LU13_21,5000,0.005170606,0.009371019,0.010834832,0.003073058000000001,0,0.0050312,0.005296488,0.016750208,0.003321229,0.026912024000000007,0.358227704,0.120988294,0.04468666,0.062425693,0.12244308200000002,0.284902118
LU13,LU13_37,5000,0.048547351,0.004647559999999998,0.0025132460000000002,0.010955287,0,0.002210196,0,0.0059680210000000004,0.012683404999999997,0.012689024,0.7465525509999996,0.010525283,0,0,0.23023314100000006,0.00323968
LU13,LU13_55,5000,0.011697599,0.014269209000000003,0.002974234,0.007815621,0,0.001482128,0.0029439979999999998,0.006514348,0.0059275310000000015,0.022624275,0.8514290560000004,0.002881171,0.005597256999999998,0,0.11746824100000003,0.0029508670000000002
LU13,LU13_47,5000,0.028339579,0.030257146999999995,0.0054851990000000005,0.007927087,0.042707674,4.995960000000002e-4,0.01846537000000002,0.012187602,0.010194693,0.023184429,0.8248337530000002,0.04199983900000001,0.024862438,0.012799030999999999,0.06019780800000001,0.022598799000000006
LU13,LU13_51,5000,0.008558335,0.020301694000000012,0.003023950000000001,0.005848033000000002,0,0.001397999,0.010150702999999999,0.005376967999999998,0.003267463,0.02817636,0.82593329,0.05879761300000001,0.026343922000000006,0,0.060748815,0.002480165
LU13,LU13_27,5000,0.008558335,0.023391675000000008,0.0030592090000000002,0.005288201,0,0.001235724,0.010854199,0.006003495000000002,0.003268647,0.028853984000000006,0.839664743,0.048083041,0.029051092,0,0.054347140000000016,0.0026479529999999998
LU13,LU13_05,5000,0.0015889670000000004,0.026452488000000007,0.002513313,0.0046967519999999985,3.19283e-4,4.05712e-4,0.012713768999999996,0.006292649999999999,0.00176195,0.028060842,0.8401488560000004,0.054148394000000016,0.032111632000000015,0,0.04465133900000001,0.002773729
LU13,LU13_26,5000,0.008558335,0.016814584,0.0028320820000000005,0.006398027,0,0.002002386,0.008251405,0.004219797,0.004690683000000001,0.029705475000000005,0.800493494,0.05504368000000001,0.024330668,0,0.09042668400000002,0.0016996740000000002
LU13,LU13_35,5000,0.083873953,0,0.002497978,0.011854672,0,0.003536157,0,0.005519842999999997,0.016085598000000003,0.011010379999999998,0.774139648,0.013932935000000004,0.0022610340000000007,0,0.198656003,0.002624724
LU13,LU13_13,5000,0.008558335,0.008689719,0.0020296230000000004,0.00726114,0,0.003035482,0.0049163609999999976,0.001291306,0.006074985,0.028627252,0.7883277419999997,0.026799581,0.021425189,0,0.134820236,0.0014979550000000002
LU13,LU13_128,5000,7.220590000000002e-4,0.007952432,0.007161272,0.0072315819999999986,0,0.003446881,0.004908251999999998,0.0012900070000000001,0.0065096979999999995,0.035380553999999995,0.752856074,0.02354742,0.026739767999999994,0,0.13374285200000005,0.022945855000000008
LU13,LU13_131,5000,0.002181292,0.008003393,0.007045464,0.007854506000000004,0,0.0037335299999999997,0.004952923999999998,0.001299581,0.00814749,0.036400530999999986,0.7090244,0.011749667999999998,0.022904437000000007,0,0.18959238300000006,0.02088744
LU13,LU13_12,5000,7.18e-5,0.007787262,0.011019909,0.007293433,0,0.003637869,0.004974722999999999,0.001308413,0.0071146709999999995,0.036432354,0.710061434,0.015312727999999998,0.026039154000000005,0,0.161163427,0.048726826
LU13,LU13_33,5000,0.0015181790000000001,0.007662914,0.015643224,0.007626636,0,0.003893253000000002,0.005764852,0.0013492719999999999,0.008580483,0.037538031,0.6757467049999998,0.011793341999999997,0.02361517,0,0.19195816000000004,0.078494357
LU13,LU13_32,5000,0.002087337,0.007712968,0.018277309000000005,0.007157322,0,0.0038229820000000004,0.006787714,0.001353404,0.00876807,0.038402794,0.6466551120000003,0.010696479,0.023609241999999992,0,0.2150274820000001,0.148357817
LU13,LU13_30,5000,0.0020951519999999994,0.00766381,0.021116436999999995,0.0066847999999999986,0,0.0036863220000000006,0.007678436,0.001346374,0.009084279,0.037566788,0.628346839,0.010046504000000003,0.023778031,0,0.20443309300000007,0.21874638700000001
